Epoch,LR,TrainLoss,MeanDice,Dice_WT,Dice_TC,Dice_ET
1,3.000000e-05,1.467231,0.0294,0.0354,0.0147,0.0381
2,6.000000e-05,1.394860,0.0385,0.0513,0.0198,0.0442
3,9.000000e-05,1.365155,0.0580,0.0731,0.0286,0.0723
4,1.200000e-04,1.342672,0.1034,0.1097,0.0499,0.1506
5,1.500000e-04,1.314320,0.2117,0.2057,0.1265,0.3028
6,1.800000e-04,1.287032,0.3408,0.3308,0.2588,0.4329
7,2.100000e-04,1.252029,0.4657,0.4492,0.4284,0.5195
8,2.400000e-04,1.208255,0.5589,0.5390,0.5536,0.5841
9,2.700000e-04,1.150332,0.6158,0.6012,0.6238,0.6223
10,3.000000e-04,1.065602,0.6522,0.6483,0.6611,0.6472
11,3.000000e-04,0.956834,0.6848,0.6919,0.6950,0.6675
12,2.999101e-04,0.845961,0.7104,0.7263,0.7198,0.6852
13,2.996407e-04,0.744471,0.7385,0.7589,0.7479,0.7087
14,2.991920e-04,0.661347,0.7636,0.7900,0.7723,0.7286
15,2.985645e-04,0.609727,0.7841,0.8139,0.7940,0.7445
16,2.977591e-04,0.563290,0.7997,0.8329,0.8088,0.7574
17,2.967768e-04,0.541396,0.8103,0.8441,0.8194,0.7673
18,2.956186e-04,0.525612,0.8184,0.8531,0.8275,0.7747
19,2.942861e-04,0.506272,0.8258,0.8618,0.8346,0.7810
20,2.927808e-04,0.500132,0.8311,0.8674,0.8396,0.7863
21,2.911047e-04,0.480191,0.8345,0.8709,0.8430,0.7898
22,2.892596e-04,0.471350,0.8371,0.8746,0.8452,0.7916
23,2.872480e-04,0.458185,0.8409,0.8771,0.8496,0.7959
24,2.850721e-04,0.461834,0.8445,0.8805,0.8537,0.7994
25,2.827348e-04,0.452455,0.8478,0.8827,0.8573,0.8033
26,2.802387e-04,0.448764,0.8512,0.8866,0.8608,0.8062
27,2.775871e-04,0.439091,0.8526,0.8878,0.8623,0.8075
28,2.747830e-04,0.433986,0.8540,0.8895,0.8634,0.8092
29,2.718300e-04,0.429030,0.8557,0.8907,0.8647,0.8116
30,2.687316e-04,0.434722,0.8566,0.8912,0.8655,0.8133
31,2.654916e-04,0.423618,0.8579,0.8921,0.8664,0.8152
32,2.621139e-04,0.427640,0.8594,0.8931,0.8680,0.8171
33,2.586026e-04,0.419370,0.8604,0.8931,0.8692,0.8190
34,2.549621e-04,0.415204,0.8613,0.8937,0.8704,0.8199
35,2.511968e-04,0.409683,0.8622,0.8942,0.8714,0.8210
36,2.473112e-04,0.412852,0.8626,0.8939,0.8713,0.8225
37,2.433101e-04,0.412030,0.8636,0.8947,0.8728,0.8233
38,2.391983e-04,0.405015,0.8644,0.8955,0.8741,0.8236
39,2.349810e-04,0.400256,0.8659,0.8968,0.8765,0.8245
40,2.306631e-04,0.400096,0.8661,0.8965,0.8764,0.8253
41,2.262500e-04,0.395384,0.8669,0.8970,0.8776,0.8261
42,2.217471e-04,0.395936,0.8678,0.8977,0.8786,0.8272
43,2.171597e-04,0.396133,0.8679,0.8982,0.8785,0.8269
44,2.124937e-04,0.395260,0.8683,0.8985,0.8785,0.8279
45,2.077545e-04,0.387549,0.8687,0.8988,0.8789,0.8285
46,2.029480e-04,0.385419,0.8697,0.8992,0.8798,0.8300
47,1.980800e-04,0.387521,0.8698,0.8993,0.8804,0.8298
48,1.931565e-04,0.387004,0.8695,0.8992,0.8799,0.8295
49,1.881835e-04,0.384179,0.8696,0.8993,0.8801,0.8293
50,1.831670e-04,0.379147,0.8696,0.8992,0.8802,0.8293
51,1.781131e-04,0.377223,0.8703,0.8996,0.8812,0.8302
52,1.730280e-04,0.373520,0.8708,0.8999,0.8816,0.8308
53,1.679179e-04,0.375460,0.8708,0.8996,0.8819,0.8308
54,1.627891e-04,0.370541,0.8706,0.8997,0.8818,0.8303
55,1.576477e-04,0.368357,0.8706,0.8996,0.8819,0.8301
56,1.525000e-04,0.365031,0.8708,0.8999,0.8823,0.8302
57,1.473523e-04,0.369021,0.8713,0.9001,0.8828,0.8309
58,1.422109e-04,0.367173,0.8712,0.9001,0.8829,0.8304
59,1.370821e-04,0.362624,0.8708,0.9000,0.8824,0.8299
60,1.319720e-04,0.361945,0.8706,0.9002,0.8822,0.8293
61,1.268869e-04,0.362242,0.8706,0.9004,0.8824,0.8289
62,1.218330e-04,0.359835,0.8704,0.9004,0.8824,0.8285
63,1.168165e-04,0.356619,0.8707,0.9007,0.8827,0.8288
64,1.118435e-04,0.358635,0.8708,0.9010,0.8827,0.8287
65,1.069200e-04,0.359065,0.8710,0.9010,0.8829,0.8291
66,1.020520e-04,0.353269,0.8712,0.9015,0.8832,0.8290
67,9.724553e-05,0.356885,0.8712,0.9013,0.8834,0.8289
68,9.250635e-05,0.353126,0.8715,0.9016,0.8836,0.8291
69,8.784026e-05,0.350288,0.8715,0.9016,0.8837,0.8292
70,8.325294e-05,0.348664,0.8717,0.9017,0.8839,0.8294
71,7.875000e-05,0.345053,0.8717,0.9017,0.8840,0.8294
72,7.433691e-05,0.350457,0.8718,0.9017,0.8840,0.8295
73,7.001905e-05,0.343967,0.8719,0.9019,0.8841,0.8297
74,6.580168e-05,0.345178,0.8720,0.9020,0.8841,0.8298
75,6.168993e-05,0.345598,0.8720,0.9020,0.8839,0.8301
76,5.768883e-05,0.342930,0.8721,0.9022,0.8839,0.8301
77,5.380324e-05,0.340045,0.8723,0.9022,0.8841,0.8305
78,5.003789e-05,0.341107,0.8723,0.9023,0.8841,0.8306
79,4.639738e-05,0.340886,0.8724,0.9023,0.8842,0.8305
80,4.288614e-05,0.339585,0.8726,0.9024,0.8843,0.8312
81,3.950844e-05,0.337029,0.8730,0.9027,0.8846,0.8318
82,3.626841e-05,0.335703,0.8731,0.9026,0.8847,0.8321
83,3.316999e-05,0.336317,0.8733,0.9025,0.8850,0.8323
84,3.021696e-05,0.334106,0.8734,0.9027,0.8852,0.8324
85,2.741291e-05,0.333364,0.8737,0.9029,0.8857,0.8325
86,2.476125e-05,0.331748,0.8741,0.9032,0.8862,0.8330
87,2.226523e-05,0.332129,0.8744,0.9035,0.8865,0.8331
88,1.992788e-05,0.335475,0.8745,0.9037,0.8868,0.8330
89,1.775204e-05,0.332615,0.8746,0.9038,0.8870,0.8331
90,1.574038e-05,0.331435,0.8747,0.9040,0.8872,0.8328
91,1.389534e-05,0.329894,0.8746,0.9040,0.8872,0.8326
92,1.221916e-05,0.331808,0.8747,0.9040,0.8874,0.8327
93,1.071390e-05,0.332937,0.8750,0.9042,0.8876,0.8330
94,9.381380e-06,0.329016,0.8750,0.9042,0.8877,0.8331
95,8.223229e-06,0.332186,0.8751,0.9043,0.8877,0.8332
96,7.240856e-06,0.330582,0.8751,0.9043,0.8878,0.8332
97,6.435460e-06,0.333024,0.8752,0.9044,0.8879,0.8333
98,5.808020e-06,0.332337,0.8753,0.9044,0.8880,0.8334
99,5.359303e-06,0.333066,0.8754,0.9044,0.8882,0.8336
100,5.089853e-06,0.327509,0.8756,0.9045,0.8884,0.8338
